158,1962,Chile,Arica,Group 1,Colombia,Yugoslavia,0,5,A,,Yugoslavia,Colombia,Jun,Thursday
159,1962,Chile,Viña del Mar,Group 3,Czechoslovakia,Mexico,1,3,A,,Mexico,Czechoslovakia,Jun,Thursday
160,1962,Chile,Santiago,Group 2,Italy,Switzerland,3,0,H,,Italy,Switzerland,Jun,Thursday
161,1962,Chile,Viña del Mar,Quarterfinals,Brazil,England,3,1,H,,Brazil,England,Jun,Sunday
162,1962,Chile,Arica,Quarterfinals,Chile,Soviet Union,2,1,H,,Chile,Soviet Union,Jun,Sunday
163,1962,Chile,Rancagua,Quarterfinals,Czechoslovakia,Hungary,1,0,H,,Czechoslovakia,Hungary,Jun,Sunday
164,1962,Chile,Santiago,Quarterfinals,West Germany,Yugoslavia,0,1,A,,Yugoslavia,West Germany,Jun,Sunday
165,1962,Chile,Santiago,Semifinals,Chile,Brazil,2,4,A,,Brazil,Chile,Jun,Wednesday
166,1962,Chile,Viña del Mar,Semifinals,Czechoslovakia,Yugoslavia,3,1,H,,Czechoslovakia,Yugoslavia,Jun,Wednesday
167,1962,Chile,Santiago,Third place,Chile,Yugoslavia,1,0,H,,Chile,Yugoslavia,Jun,Saturday
168,1962,Chile,Santiago,Final,Brazil,Czechoslovakia,3,1,H,,Brazil,Czechoslovakia,Jun,Sunday
169,1966,England,London,Group 1,England,Uruguay,0,0,D,,NA,NA,Jul,Monday
170,1966,England,Liverpool,Group 3,Brazil,Bulgaria,2,0,H,,Brazil,Bulgaria,Jul,Tuesday
171,1966,England,Sheffield,Group 2,West Germany,Switzerland,5,0,H,,West Germany,Switzerland,Jul,Tuesday
172,1966,England,Middlesbrough,Group 4,North Korea,Soviet Union,0,3,A,,Soviet Union,North Korea,Jul,Tuesday
173,1966,England,Birmingham,Group 2,Argentina,Spain,2,1,H,,Argentina,Spain,Jul,Wednesday
174,1966,England,Sunderland,Group 4,Chile,Italy,0,2,A,,Italy,Chile,Jul,Wednesday
175,1966,England,London,Group 1,France,Mexico,1,1,D,,NA,NA,Jul,Wednesday
176,1966,England,Manchester,Group 3,Hungary,Portugal,1,3,A,,Portugal,Hungary,Jul,Wednesday
177,1966,England,Liverpool,Group 3,Brazil,Hungary,1,3,A,,Hungary,Brazil,Jul,Friday
178,1966,England,Middlesbrough,Group 4,Chile,North Korea,1,1,D,,NA,NA,Jul,Friday
179,1966,England,London,Group 1,France,Uruguay,1,2,A,,Uruguay,France,Jul,Friday
180,1966,England,Sheffield,Group 2,Spain,Switzerland,2,1,H,,Spain,Switzerland,Jul,Friday
181,1966,England,Birmingham,Group 2,Argentina,West Germany,0,0,D,,NA,NA,Jul,Saturday
182,1966,England,Manchester,Group 3,Bulgaria,Portugal,0,3,A,,Portugal,Bulgaria,Jul,Saturday
183,1966,England,London,Group 1,England,Mexico,2,0,H,,England,Mexico,Jul,Saturday
184,1966,England,Sunderland,Group 4,Italy,Soviet Union,0,1,A,,Soviet Union,Italy,Jul,Saturday
185,1966,England,Sheffield,Group 2,Argentina,Switzerland,2,0,H,,Argentina,Switzerland,Jul,Tuesday
186,1966,England,Liverpool,Group 3,Brazil,Portugal,1,3,A,,Portugal,Brazil,Jul,Tuesday
187,1966,England,Middlesbrough,Group 4,Italy,North Korea,0,1,A,,North Korea,Italy,Jul,Tuesday
188,1966,England,London,Group 1,Mexico,Uruguay,0,0,D,,NA,NA,Jul,Tuesday
189,1966,England,Manchester,Group 3,Bulgaria,Hungary,1,3,A,,Hungary,Bulgaria,Jul,Wednesday
190,1966,England,Sunderland,Group 4,Chile,Soviet Union,1,2,A,,Soviet Union,Chile,Jul,Wednesday
191,1966,England,London,Group 1,England,France,2,0,H,,England,France,Jul,Wednesday
192,1966,England,Birmingham,Group 2,West Germany,Spain,2,1,H,,West Germany,Spain,Jul,Wednesday
193,1966,England,London,Quarterfinals,England,Argentina,1,0,H,,England,Argentina,Jul,Saturday
194,1966,England,Sheffield,Quarterfinals,West Germany,Uruguay,4,0,H,,West Germany,Uruguay,Jul,Saturday
195,1966,England,Sunderland,Quarterfinals,Hungary,Soviet Union,1,2,A,,Soviet Union,Hungary,Jul,Saturday
196,1966,England,Liverpool,Quarterfinals,North Korea,Portugal,3,5,A,,Portugal,North Korea,Jul,Saturday
197,1966,England,Liverpool,Semifinals,West Germany,Soviet Union,2,1,H,,West Germany,Soviet Union,Jul,Monday
198,1966,England,London,Semifinals,England,Portugal,2,1,H,,England,Portugal,Jul,Tuesday
199,1966,England,London,Third place,Portugal,Soviet Union,2,1,H,,Portugal,Soviet Union,Jul,Thursday
200,1966,England,London,Final,England,West Germany,4,2,H,England won in AET,England,West Germany,Jul,Saturday
201,1970,Mexico,Mexico City,Group 1,Mexico,Soviet Union,0,0,D,,NA,NA,May,Sunday
202,1970,Mexico,León,Group 4,Bulgaria,Peru,2,3,A,,Peru,Bulgaria,Jun,Tuesday
203,1970,Mexico,Guadalajara,Group 3,England,Romania,1,0,H,,England,Romania,Jun,Tuesday
204,1970,Mexico,Puebla,Group 2,Israel,Uruguay,0,2,A,,Uruguay,Israel,Jun,Tuesday
205,1970,Mexico,Mexico City,Group 1,Belgium,El Salvador,3,0,H,,Belgium,El Salvador,Jun,Wednesday
206,1970,Mexico,Guadalajara,Group 3,Brazil,Czechoslovakia,4,1,H,,Brazil,Czechoslovakia,Jun,Wednesday
207,1970,Mexico,León,Group 4,West Germany,Morocco,2,1,H,,West Germany,Morocco,Jun,Wednesday
208,1970,Mexico,Toluca,Group 2,Italy,Sweden,1,0,H,,Italy,Sweden,Jun,Wednesday
209,1970,Mexico,Mexico City,Group 1,Belgium,Soviet Union,1,4,A,,Soviet Union,Belgium,Jun,Saturday
210,1970,Mexico,Guadalajara,Group 3,Czechoslovakia,Romania,1,2,A,,Romania,Czechoslovakia,Jun,Saturday
211,1970,Mexico,Puebla,Group 2,Italy,Uruguay,0,0,D,,NA,NA,Jun,Saturday
212,1970,Mexico,León,Group 4,Morocco,Peru,0,3,A,,Peru,Morocco,Jun,Saturday
213,1970,Mexico,Guadalajara,Group 3,Brazil,England,1,0,H,,Brazil,England,Jun,Sunday
214,1970,Mexico,León,Group 4,Bulgaria,West Germany,2,5,A,,West Germany,Bulgaria,Jun,Sunday
215,1970,Mexico,Toluca,Group 2,Israel,Sweden,1,1,D,,NA,NA,Jun,Sunday
216,1970,Mexico,Mexico City,Group 1,Mexico,El Salvador,4,0,H,,Mexico,El Salvador,Jun,Sunday
217,1970,Mexico,Guadalajara,Group 3,Brazil,Romania,3,2,H,,Brazil,Romania,Jun,Wednesday
218,1970,Mexico,Mexico City,Group 1,El Salvador,Soviet Union,0,2,A,,Soviet Union,El Salvador,Jun,Wednesday
219,1970,Mexico,León,Group 4,West Germany,Peru,3,1,H,,West Germany,Peru,Jun,Wednesday
220,1970,Mexico,Puebla,Group 2,Sweden,Uruguay,1,0,H,,Sweden,Uruguay,Jun,Wednesday
221,1970,Mexico,León,Group 4,Bulgaria,Morocco,1,1,D,,NA,NA,Jun,Thursday
222,1970,Mexico,Guadalajara,Group 3,Czechoslovakia,England,0,1,A,,England,Czechoslovakia,Jun,Thursday
223,1970,Mexico,Toluca,Group 2,Israel,Italy,0,0,D,,NA,NA,Jun,Thursday
